"A 'Brand Catalog' is a combination of Brand (Wayfair, AllModern, Birch Lane, Perigold, Joss & Main), catalog (US, UK, Germany) and language (English, French).",The term the customer typed into the search bar,The primary class associated with the search term,The total number of impressions of the search term in the last 30 days,"Of the total impressions per class, what was the percentage of impressions for this search term",The percentage of searches where any 1 sku from the supplier appeared whether paid or organic,The percentage of searches where any 1 sku from the supplier appeared on the first page,The percentage of searches where any 1 sku from the supplier appeared on the first page in the top 8 slots
Brand Catalog,Search Term,Class,Last 30 Day Impressions,Search Term Share of Impressions for Given Class,Supplier Share of Search,Supplier Share of Page 1,Supplier Share of Top 8
Wayfair US,reversible quilt set,Bedding Sets,90,0.03%,65.56%,51.11%,11.11%
Wayfair US,queen size bedspread,Bedding Sets,89,0.03%,52.81%,32.58%,5.62%
Wayfair US,white coverlet,Bedding Sets,89,0.03%,31.46%,17.98%,1.12%
Wayfair US,bunk bed bedding,Bedding Sets,89,0.03%,47.19%,42.7%,7.87%
Wayfair US,green duvet,Bedding Sets,88,0.03%,52.27%,37.5%,9.09%
Wayfair US,beding,Bedding Sets,88,0.03%,52.27%,43.18%,4.55%
Wayfair US,tahari home bedding,Bedding Sets,88,0.03%,44.32%,36.36%,7.95%
Wayfair US,king size bed pillows,Standard Bed Pillows,87,1.13%,42.53%,41.38%,5.75%
Wayfair US,down pillow,Standard Bed Pillows,87,1.13%,79.31%,79.31%,27.59%
Wayfair US,clearance bedding,Bedding Sets,87,0.03%,36.78%,28.74%,6.9%
Wayfair US,holiday bedding,Bedding Sets,86,0.03%,17.44%,17.44%,6.98%
Wayfair US,tommy bahama bedding,Bedding Sets,86,0.03%,4.65%,3.49%,0%
Wayfair US,rust comforter set,Bedding Sets,85,0.03%,70.59%,61.18%,51.76%
Wayfair US,queen conforter,Bedding Sets,85,0.03%,58.82%,49.41%,30.59%
Wayfair US,comforter set queen,Bedding Sets,85,0.03%,45.88%,37.65%,28.24%
Wayfair US,blue and white bedding,Bedding Sets,85,0.03%,45.88%,29.41%,10.59%
Wayfair US,big fluffy down comforters,Duvet Fills and Down Comforters,85,0.89%,36.47%,25.88%,0%
Wayfair US,outdoor patio chair cushions,Furniture Cushions,84,0.21%,7.14%,2.38%,0%
Wayfair US,dining room chair cushions,Furniture Cushions,84,0.21%,8.33%,1.19%,0%
Wayfair US,mattress toppers,Mattress Toppers and Pads,84,0.44%,7.14%,3.57%,0%
Wayfair US,velvet duvet,Bedding Sets,84,0.03%,33.33%,33.33%,0%
Wayfair US,linens,Bedding Sets,84,0.03%,40.48%,39.29%,8.33%
Wayfair US,king size oversized bedspreads,Bedding Sets,84,0.03%,50%,33.33%,11.9%
Wayfair US,queen bedroom comforter sets,Bedding Sets,84,0.03%,72.62%,50%,23.81%
Wayfair US,oversized king quilt sets,Bedding Sets,84,0.03%,84.52%,61.9%,38.1%
Wayfair US,rainbow comforter,Bedding Sets,83,0.03%,62.65%,45.78%,1.2%
Wayfair US,pet bed,Dog Beds & Mats,82,0.39%,3.66%,1.22%,0%
Wayfair US,blue bedspread,Bedding Sets,82,0.03%,59.76%,42.68%,10.98%
Wayfair US,duvet cover twin,Bedding Sets,82,0.03%,34.15%,9.76%,0%
Wayfair US,green throw blanket,Blankets And Throws,82,0.28%,13.41%,0%,0%
Wayfair US,24x24 deep seat cushions,Furniture Cushions,81,0.21%,3.7%,1.23%,0%
Wayfair US,queen size bedspread sets,Bedding Sets,81,0.03%,46.91%,23.46%,3.7%
Wayfair US,yellow bedspread,Bedding Sets,80,0.03%,61.25%,43.75%,25%
Wayfair US,oversized king quilts,Bedding Sets,80,0.03%,63.75%,51.25%,33.75%
