"Matched product ","Product targets","Added as","Impressions","Clicks","CTR","Spend(USD)","CPC(USD)","Orders","Sales(USD)","ACOS","ROAS","Conversion rate"
"120 x120 bedspread","bedspread","","4","1","25.00",0.3,0.3,"0",0,,"0.0","0.0"
"bedspread full size","bedspread","","22","1","4.55",0.25,0.25,"0",0,,"0.0","0.0"
"black velvet comforter king","velvet king comforter","","318","6","1.89",1.95,0.33,"0",0,,"0.0","0.0"
"3 piece corduroy bedspread","bedspread","","2","1","50.00",0.27,0.27,"0",0,,"0.0","0.0"
"bedspread cyber monday king ivory","bedspread","","1","1","100.00",0.24,0.24,"0",0,,"0.0","0.0"
"black friday bedspreads","bedspread","","5","2","40.00",0.64,0.32,"0",0,,"0.0","0.0"
"bedspreads for king beds","bedspread","","31","1","3.23",0.35,0.35,"0",0,,"0.0","0.0"
"bed bath and beyond bedspread","bedspread","","1","1","100.00",0.32,0.32,"0",0,,"0.0","0.0"
"120 x 120 bedspread","bedspread","","31","4","12.90",1.29,0.32,"0",0,,"0.0","0.0"
"black corduroy king bedding","king bedding","","28","2","7.14",0.43,0.21,"0",0,,"0.0","0.0"
"blue comforter set king sale","blue comforter set king","","2","1","50.00",0.24,0.24,"0",0,,"0.0","0.0"
"black microsuede comforter","microsuede comforter","","1","1","100.00",0.51,0.51,"0",0,,"0.0","0.0"
"bedspread king size","bedspreads king","","1025","6","0.59",3,0.5,"0",0,,"0.0","0.0"
"bedspreads king velvet","velvet bedspread king","","35","5","14.29",2.39,0.48,"0",0,,"0.0","0.0"
"bed quilt king bage","bed quilt","","1","1","100.00",0.38,0.38,"0",0,,"0.0","0.0"
"bedspread king taupe 120”x120” microfiber","bedspreads king","","6","2","33.33",0.94,0.47,"0",0,,"0.0","0.0"
"beige ikat bedspread","bedspread","","2","1","50.00",0.32,0.32,"0",0,,"0.0","0.0"
"beige king size quilt set","king size quilt set","","2","2","100.00",0.86,0.43,"0",0,,"0.0","0.0"
"bedspreads with mattress piping","bedspread","","1","1","100.00",0.2,0.2,"0",0,,"0.0","0.0"
"bedspread queen size knitted","bedspread","","3","1","33.33",0.37,0.37,"0",0,,"0.0","0.0"
"beige medallion bedspread queen set","queen bedspreads sets","","16","1","6.25",0.55,0.55,"1",59.99,"0.9168194699116519","109.07272727272726","100.0"
"118 x 118 bedspread","bedspread","","4","1","25.00",0.37,0.37,"0",0,,"0.0","0.0"
"black velvet quilt","velvet quilt","","29","2","6.90",0.25,0.13,"0",0,,"0.0","0.0"
"118 x 120 bedspread","bedspread","","25","5","20.00",1.63,0.33,"0",0,,"0.0","0.0"
"118 x 120 bedspread soft","bedspread","","3","1","33.33",0.35,0.35,"0",0,,"0.0","0.0"
"bedspread camel","bedspread","","7","1","14.29",0.32,0.32,"0",0,,"0.0","0.0"
"120” velvet comforter king","velvet king comforter","","5","4","80.00",1.68,0.42,"0",0,,"0.0","0.0"
"132 inch x 120 inch bedspread","bedspread","","3","1","33.33",0.34,0.34,"0",0,,"0.0","0.0"
"blue cashmere quilt queen","cashmere quilt","","17","1","5.88",0.34,0.34,"0",0,,"0.0","0.0"
"amazonbasics bedspread king","bedspread","","1","1","100.00",0.27,0.27,"0",0,,"0.0","0.0"
"beige checkered blue bedspread","bedspread","","4","1","25.00",0.27,0.27,"0",0,,"0.0","0.0"
"black and brown velvet comforter","brown velvet comforter","","24","1","4.17",0.37,0.37,"0",0,,"0.0","0.0"
"bedspreads king","bedspreads king","Keyword: broad","18","1","5.56",0.52,0.52,"0",0,,"0.0","0.0"
"black and red checker bedspreads","bedspread","","5","1","20.00",0.32,0.32,"0",0,,"0.0","0.0"
"beige king kasentex plush pokyvekvet","kasentex","","1","1","100.00",1.33,1.33,"1",59.99,"2.2170361726954493","45.10526315789473","100.0"
"107 x 110 velvet burgundy bedspread","bedspread","","5","1","20.00",0.21,0.21,"0",0,,"0.0","0.0"
"bedding sets queen coverlet","bedding sets queen","","1","1","100.00",0.17,0.17,"0",0,,"0.0","0.0"
"bedspreads king blue","bedspread","","3","1","33.33",0.31,0.31,"0",0,,"0.0","0.0"
"bedspreads comforters velvet stripe","bedspread","","9","1","11.11",0.16,0.16,"0",0,,"0.0","0.0"
"bedspreads 120 x 120","bedspread","","8","1","12.50",0.3,0.3,"0",0,,"0.0","0.0"
"black cashmere quilt","cashmere quilt","","24","2","8.33",1.02,0.51,"0",0,,"0.0","0.0"
"bedspread set king","bedspreads king","","22","1","4.55",0.42,0.42,"0",0,,"0.0","0.0"
"bedspread queen size","bedspread","","157","5","3.18",1.76,0.35,"0",0,,"0.0","0.0"
"black friday cotton bedspreads","bedspread","","8","1","12.50",0.32,0.32,"0",0,,"0.0","0.0"
"blue microsuede comforter set","microsuede comforter set","","2","1","50.00",0.26,0.26,"0",0,,"0.0","0.0"
"128 x 120 burgundy bedspread","bedspread","","1","1","100.00",0.28,0.28,"0",0,,"0.0","0.0"
"118x118 king bedspread","bedspread","","1","1","100.00",0.28,0.28,"0",0,,"0.0","0.0"
"bed queen size comforter set","queen size comforter","","2","1","50.00",0.18,0.18,"0",0,,"0.0","0.0"
"bedspread flannel fleece","bedspread","","2","1","50.00",0.26,0.26,"0",0,,"0.0","0.0"
"120 x 118 king bedspread","bedspread","","4","1","25.00",0.3,0.3,"0",0,,"0.0","0.0"
"black bed quilt","bed quilt","","3","1","33.33",0.21,0.21,"0",0,,"0.0","0.0"
"bedspreads 128x120","bedspread","","1","1","100.00",0.41,0.41,"0",0,,"0.0","0.0"
"bedding queen set comforter light brown","bedding sets queen","","1","1","100.00",0.31,0.31,"0",0,,"0.0","0.0"
"annafi fine velvet bed set","bed sets","","1","1","100.00",0.1,0.1,"0",0,,"0.0","0.0"
"bedspread luxury king","bedspreads king","","7","1","14.29",0.58,0.58,"0",0,,"0.0","0.0"
"bed comforter queen set ultra soft","bed comforter queen set","","1","1","100.00",0.26,0.26,"0",0,,"0.0","0.0"
"bedspread 115 x 110 clearance","bedspread","","2","1","50.00",0.27,0.27,"0",0,,"0.0","0.0"
"all season king bedspread","bedspread","","1","1","100.00",0.28,0.28,"0",0,,"0.0","0.0"
"bed sets full","bed sets","","2","1","50.00",0.16,0.16,"0",0,,"0.0","0.0"
"black comforter king velvet","velvet king comforter","","24","1","4.17",0.41,0.41,"0",0,,"0.0","0.0"
"bed quilt velvet","bed quilt","","7","1","14.29",0.32,0.32,"0",0,,"0.0","0.0"
"120x120 bedspread","bedspread","","13","5","38.46",1.24,0.25,"0",0,,"0.0","0.0"
"bedspread broyhill purple velvet","bedspread","","1","1","100.00",0.28,0.28,"0",0,,"0.0","0.0"
"bed quilt in full","bed quilt","","2","1","50.00",0.36,0.36,"0",0,,"0.0","0.0"
"bedspreads queen size","bedspread","","3","1","33.33",0.26,0.26,"0",0,,"0.0","0.0"
"bedspreads and comforters","bedspread","","12","2","16.67",0.39,0.2,"0",0,,"0.0","0.0"
"black velvet bedspread queen","bedspread","","13","1","7.69",0.29,0.29,"0",0,,"0.0","0.0"
"bedspreads king","bedspread","Keyword: broad","1","1","100.00",0.15,0.15,"0",0,,"0.0","0.0"
"black king size bedspread quilted","bedspread","","42","2","4.76",0.56,0.28,"0",0,,"0.0","0.0"
"bedspreads for standard size bed","bedspread","","9","1","11.11",0.41,0.41,"0",0,,"0.0","0.0"
"blue soft comforter king size","comforter king size","","4","1","25.00",0.24,0.24,"0",0,,"0.0","0.0"
"black bedspreads queen size","bedspread","","3","1","33.33",0.34,0.34,"0",0,,"0.0","0.0"
"blue king size bedspread","bedspreads king","","8","1","12.50",0.58,0.58,"0",0,,"0.0","0.0"
"bedspreads queen size fluffy","bedspread","","6","2","33.33",0.65,0.32,"0",0,,"0.0","0.0"
"bedspreads 3d cats","bedspread","","2","1","50.00",0.16,0.16,"0",0,,"0.0","0.0"
"bedspreads & coverlets","bedspread","","745","12","1.61",3.48,0.29,"0",0,,"0.0","0.0"
"120 x 120 bedspread super king","bedspreads king","","7","1","14.29",0.58,0.58,"0",0,,"0.0","0.0"
"""queen"" ""oeko-tex"" bedspread blanket herringbone","bedspread","","1","1","100.00",0.41,0.41,"0",0,,"0.0","0.0"
"blue bedspread","bedspread","","1587","1","0.06",0.34,0.34,"0",0,,"0.0","0.0"
"blue bedspreads queen size","bedspread","","12","1","8.33",0.34,0.34,"0",0,,"0.0","0.0"
"bedspread king farmhouse","bedspreads king","","2","1","50.00",0.58,0.58,"0",0,,"0.0","0.0"
"bedspread for full size bed for little girl","bedspread","","1","1","100.00",0.32,0.32,"0",0,,"0.0","0.0"
"bedspread 120x120","bedspread","","6","2","33.33",0.82,0.41,"0",0,,"0.0","0.0"
"aqua velour bedspread in queen","bedspread","","10","5","50.00",1.4,0.28,"0",0,,"0.0","0.0"
"bedding neutral color quilted queen size comforter sets","queen size comforter","","1","1","100.00",0.38,0.38,"0",0,,"0.0","0.0"
"black king size quilt bedding set","quilt bedding set","","2","1","50.00",0.37,0.37,"0",0,,"0.0","0.0"
"120 inch bedspread","bedspread","","1","1","100.00",0.3,0.3,"0",0,,"0.0","0.0"
"atomic bedspread king","bedspread","","1","1","100.00",0.22,0.22,"0",0,,"0.0","0.0"
"128 by 120 king bedspreads","bedspread","","2","1","50.00",0.3,0.3,"0",0,,"0.0","0.0"
"blue quilted bedspread","bedspread","","4","1","25.00",0.31,0.31,"0",0,,"0.0","0.0"
"batik bedspread","bedspread","","2","1","50.00",0.3,0.3,"0",0,,"0.0","0.0"
"120 x 118 velvet bedspread","bedspread","","7","3","42.86",0.87,0.29,"0",0,,"0.0","0.0"
"blue coverlet king size clearance","king coverlet","","2","1","50.00",0.02,0.02,"0",0,,"0.0","0.0"
"alaskan king bedspread","bedspreads king","","11","1","9.09",0.38,0.38,"0",0,,"0.0","0.0"
"bedspread","bedspread","Keyword: phrase, broad","1200","14","1.17",4.41,0.31,"0",0,,"0.0","0.0"
"bedspread full kawaii","bedspread","","1","1","100.00",0.34,0.34,"0",0,,"0.0","0.0"
"bedspread soft vcny","bedspread","","2","1","50.00",0.28,0.28,"0",0,,"0.0","0.0"
"100 percent cotton king bedspread","bedspreads king","","3","1","33.33",0.58,0.58,"0",0,,"0.0","0.0"
"beach king size quilt bedding set","quilt bedding set","","21","1","4.76",0.57,0.57,"0",0,,"0.0","0.0"
"120x120 king size bedspread","bedspread","","8","1","12.50",0.28,0.28,"0",0,,"0.0","0.0"
"beige quilt king size","beige quilt king","","68","11","16.18",7.43,0.68,"0",0,,"0.0","0.0"
"black velvet bedspread","bedspread","","26","2","7.69",0.68,0.34,"0",0,,"0.0","0.0"
"black velvet bedspread king","velvet bedspread king","","34","3","8.82",1.04,0.35,"0",0,,"0.0","0.0"
"bedspread tailored","bedspread","","2","1","50.00",0.23,0.23,"0",0,,"0.0","0.0"
"bedspreads queen","bedspread","","115","3","2.61",1.05,0.35,"0",0,,"0.0","0.0"
"bedspreads queen size clearance sets","queen bedspreads sets","","390","4","1.03",2.09,0.52,"0",0,,"0.0","0.0"
"bedspread for men queen size fluffy bed","bedspread","","3","1","33.33",0.38,0.38,"0",0,,"0.0","0.0"
"bedspread 120 x 118","bedspread","","3","1","33.33",0.31,0.31,"0",0,,"0.0","0.0"
"bedspread king velvet","velvet bedspread king","","2","1","50.00",0.42,0.42,"0",0,,"0.0","0.0"
"120x118 king size bedspreads","bedspreads king","","39","1","2.56",0.37,0.37,"0",0,,"0.0","0.0"
"bedspread for platform bed","bedspread","","10","1","10.00",0.31,0.31,"0",0,,"0.0","0.0"
"black king bedspread","bedspread","","22","1","4.55",0.3,0.3,"0",0,,"0.0","0.0"
"blue velvet bedspread","blue velvet bedspread","Keyword: phrase","81","2","2.47",0.55,0.28,"0",0,,"0.0","0.0"
"bedroom set queen size bedding plush","queen size bedding","","1","1","100.00",0.26,0.26,"0",0,,"0.0","0.0"
"bedspread full size hotel style","bedspread","","8","1","12.50",0.29,0.29,"0",0,,"0.0","0.0"
